na_base_id,start_scan,end_scan
NL-HaNA_1.04.02_10146,1,430
NL-HaNA_1.04.02_10147,1,492
NL-HaNA_1.04.02_10150,1,192
NL-HaNA_1.04.02_10151,1,240
NL-HaNA_1.04.02_10152,1,228
NL-HaNA_1.04.02_10153,1,140
NL-HaNA_1.04.02_10154,1,64
NL-HaNA_1.04.02_10155,1,216
NL-HaNA_1.04.02_10156,1,178
NL-HaNA_1.04.02_10157,1,166
NL-HaNA_1.04.02_10158,1,90
NL-HaNA_1.04.02_10159,1,144
NL-HaNA_1.04.02_10160,1,152
NL-HaNA_1.04.02_10161,1,170
NL-HaNA_1.04.02_10162,1,122
NL-HaNA_1.04.02_10163,1,106
NL-HaNA_1.04.02_10164,1,122
NL-HaNA_1.04.02_10165,1,120
NL-HaNA_1.04.02_10166,1,106
NL-HaNA_1.04.02_10167,1,152
NL-HaNA_1.04.02_10168,1,140
NL-HaNA_1.04.02_10169,1,136
NL-HaNA_1.04.02_10170,1,104
NL-HaNA_1.04.02_10171,1,84
NL-HaNA_1.04.02_10172,1,66
NL-HaNA_1.04.02_10173,1,100
NL-HaNA_1.04.02_10174,1,120
NL-HaNA_1.04.02_10175,1,186
NL-HaNA_1.04.02_10176,1,74
NL-HaNA_1.04.02_10177,1,56
NL-HaNA_1.04.02_10178,1,144
NL-HaNA_1.04.02_10179,1,136
NL-HaNA_1.04.02_10180,1,82
NL-HaNA_1.04.02_10181,1,96
NL-HaNA_1.04.02_10182,1,110
NL-HaNA_1.04.02_10183,1,90
NL-HaNA_1.04.02_10184,1,110
NL-HaNA_1.04.02_10185,1,134
NL-HaNA_1.04.02_10186,1,192
NL-HaNA_1.04.02_10187,1,156
NL-HaNA_1.04.02_10188,1,174
NL-HaNA_1.04.02_10189,1,114
NL-HaNA_1.04.02_10190,1,360
NL-HaNA_1.04.02_10191,1,158
NL-HaNA_1.04.02_10192,1,202
NL-HaNA_1.04.02_10193,1,194
NL-HaNA_1.04.02_10194,1,112
NL-HaNA_1.04.02_10195,1,146
NL-HaNA_1.04.02_10196,1,232
NL-HaNA_1.04.02_10197,1,166
NL-HaNA_1.04.02_10198,1,100
NL-HaNA_1.04.02_10199,1,136
NL-HaNA_1.04.02_10200,1,270
NL-HaNA_1.04.02_10201,1,78
NL-HaNA_1.04.02_10202,1,320
NL-HaNA_1.04.02_10203,1,538
NL-HaNA_1.04.02_10204,1,100
NL-HaNA_1.04.02_10205,1,152
NL-HaNA_1.04.02_10206,1,138
NL-HaNA_1.04.02_10207,1,224
NL-HaNA_1.04.02_10208,1,815
NL-HaNA_1.04.02_10209,1,1652
NL-HaNA_1.04.02_10210,1,138
NL-HaNA_1.04.02_10211,1,204
NL-HaNA_1.04.02_10212,1,290
NL-HaNA_1.04.02_10213,1,130
NL-HaNA_1.04.02_10214,1,642
NL-HaNA_1.04.02_10215,1,786
NL-HaNA_1.04.02_10216,1,382
NL-HaNA_1.04.02_10217,1,230
NL-HaNA_1.04.02_10218,1,188
NL-HaNA_1.04.02_10219,1,492
NL-HaNA_1.04.02_10220,1,520
NL-HaNA_1.04.02_10221,1,278
NL-HaNA_1.04.02_10222,1,126
NL-HaNA_1.04.02_10223,1,424
NL-HaNA_1.04.02_10224,1,436
NL-HaNA_1.04.02_10225,1,262
NL-HaNA_1.04.02_10226,1,450
NL-HaNA_1.04.02_10227,1,292
NL-HaNA_1.04.02_10228,1,1096
NL-HaNA_1.04.02_10229,1,298
NL-HaNA_1.04.02_10230,1,706
NL-HaNA_1.04.02_10231,1,492
NL-HaNA_1.04.02_10232,1,196
NL-HaNA_1.04.02_10233,1,938
NL-HaNA_1.04.02_10234,1,438
NL-HaNA_1.04.02_10235,1,164
NL-HaNA_1.04.02_10236,1,970
NL-HaNA_1.04.02_10237,1,496
NL-HaNA_1.04.02_10238,1,130
NL-HaNA_1.04.02_10239,1,356
NL-HaNA_1.04.02_10240,1,480
NL-HaNA_1.04.02_10241,1,318
NL-HaNA_1.04.02_10242,1,86
NL-HaNA_1.04.02_10243,1,420
NL-HaNA_1.04.02_10244,1,108
NL-HaNA_1.04.02_10245,1,290
NL-HaNA_1.04.02_10246,1,216
NL-HaNA_1.04.02_10247,1,100
NL-HaNA_1.04.02_10248,1,144
NL-HaNA_1.04.02_10249,1,452
NL-HaNA_1.04.02_10250,1,264
NL-HaNA_1.04.02_10251,1,68
NL-HaNA_1.04.02_10252,1,266
NL-HaNA_1.04.02_10253,1,88
NL-HaNA_1.04.02_10254,1,644
NL-HaNA_1.04.02_10255,1,290
NL-HaNA_1.04.02_10256,1,554
NL-HaNA_1.04.02_10257,1,346
NL-HaNA_1.04.02_10258,1,130
NL-HaNA_1.04.02_10259,1,340
NL-HaNA_1.04.02_10260,1,154
NL-HaNA_1.04.02_10261,1,218
NL-HaNA_1.04.02_10262,1,398
NL-HaNA_1.04.02_10263,1,750
NL-HaNA_1.04.02_10264,1,90
NL-HaNA_1.04.02_10265,1,248
NL-HaNA_1.04.02_10266,1,84
NL-HaNA_1.04.02_10267,1,222
NL-HaNA_1.04.02_10268,1,592
NL-HaNA_1.04.02_10269,1,262
NL-HaNA_1.04.02_10270,1,108
NL-HaNA_1.04.02_10271,1,88
NL-HaNA_1.04.02_10272,1,450
NL-HaNA_1.04.02_10273,1,166
NL-HaNA_1.04.02_10274,1,72
NL-HaNA_1.04.02_10275,1,450
NL-HaNA_1.04.02_10276,1,432
NL-HaNA_1.04.02_10277,1,618
NL-HaNA_1.04.02_10278,1,468
NL-HaNA_1.04.02_10279,1,178
NL-HaNA_1.04.02_10280,1,154
NL-HaNA_1.04.02_10281,1,328
NL-HaNA_1.04.02_10282,1,256
NL-HaNA_1.04.02_10283,1,566
NL-HaNA_1.04.02_10284,1,42
NL-HaNA_1.04.02_10285,1,374
NL-HaNA_1.04.02_10286,1,570
NL-HaNA_1.04.02_10287,1,676
NL-HaNA_1.04.02_10288,1,340
NL-HaNA_1.04.02_10289,1,346
NL-HaNA_1.04.02_10290,1,572
NL-HaNA_1.04.02_10291,1,272
NL-HaNA_1.04.02_10292,1,272
NL-HaNA_1.04.02_10294,1,198
NL-HaNA_1.04.02_10295,1,1344
NL-HaNA_1.04.02_10296,1,1286
NL-HaNA_1.04.02_10297,1,244
NL-HaNA_1.04.02_10298,1,524
NL-HaNA_1.04.02_10299,1,758
NL-HaNA_1.04.02_10300,1,316
NL-HaNA_1.04.02_10301,1,170
NL-HaNA_1.04.02_10302,1,292
NL-HaNA_1.04.02_10303,1,336
NL-HaNA_1.04.02_10304,1,258
NL-HaNA_1.04.02_10305,1,306
NL-HaNA_1.04.02_10306,1,618
NL-HaNA_1.04.02_10307,1,814
NL-HaNA_1.04.02_10308,1,830
NL-HaNA_1.04.02_10309,1,876
NL-HaNA_1.04.02_10310,1,572
NL-HaNA_1.04.02_10311,1,988
NL-HaNA_1.04.02_10312,1,1900
NL-HaNA_1.04.02_10313,1,466
NL-HaNA_1.04.02_10314,1,564
NL-HaNA_1.04.02_10315,1,136
NL-HaNA_1.04.02_10316,1,126
NL-HaNA_1.04.02_10317,1,816
NL-HaNA_1.04.02_10318,1,620
NL-HaNA_1.04.02_10319,1,718
NL-HaNA_1.04.02_10320,1,630
NL-HaNA_1.04.02_10321,1,52
NL-HaNA_1.04.02_10322,1,318
