(house)painter	kladschilder;schilder
comsumptie boekhouder	consumptie boekhouder;consumptieboekhouder;consumtiehouder ;conzumptie boekhouder;conzumtie boekhouder
constabel	constapel;gunner;weapons master
constabelsmaet	constapelsmaat;constapelsmaet;konstabelsmaat;weapons-master's mate
constapel	constabel;gunner;weapons master
constapelsmaat	constabelsmaet;constapelsmaet;konstabelsmaat;weapons-master's mate
constapelsmaet	constabelsmaet;constapelsmaat;konstabelsmaat;weapons-master's mate
consumptie boekhouder	comsumptie boekhouder;consumptieboekhouder;consumtiehouder ;conzumptie boekhouder;conzumtie boekhouder
consumptieboekhouder	comsumptie boekhouder;consumptie boekhouder;consumtiehouder ;conzumptie boekhouder;conzumtie boekhouder
consumtiehouder 	comsumptie boekhouder;consumptie boekhouder;consumptieboekhouder;conzumptie boekhouder;conzumtie boekhouder
conzumptie boekhouder	comsumptie boekhouder;consumptie boekhouder;consumptieboekhouder;consumtiehouder ;conzumtie boekhouder
conzumtie boekhouder	comsumptie boekhouder;consumptie boekhouder;consumptieboekhouder;consumtiehouder ;conzumptie boekhouder
cook	kock;koek
cook's mate	kokmaet
cooper	cuijper;kuijper
coopman	commies;koopm:;merchant
coorporaal	copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
copper-smith	koperslager
copraal	coorporaal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corp:	coorporaal;copraal;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corpaal	coorporaal;copraal;corp:;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corparal	coorporaal;copraal;corp:;corpaal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corperaal	coorporaal;copraal;corp:;corpaal;corparal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corperal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corpolral	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corpor:	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corporaal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corporaar	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corporael	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corporal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporâl;gegagieerden korporaal;koporaal;korperaal;korporael
corporâl	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;gegagieerden korporaal;koporaal;korperaal;korporael
coster	joster;koster
council of justice	lid van de Raad van Justitie
cuijper	cooper;kuijper
derde barbier	third barber-surgeon
derde meester	derde neester;derden meester;third surgeon
derde neester	derde meester;derden meester;third surgeon
derde stuurman	derde waak;derdewaak;derdewaek;hulpstuurman;third mate
derde waak	derde stuurman;derdewaak;derdewaek;hulpstuurman;third mate
derden meester	derde meester;derde neester;third surgeon
derdewaak	derde stuurman;derde waak;derdewaek;hulpstuurman;third mate
derdewaek	derde stuurman;derde waak;derdewaak;hulpstuurman;third mate
diespencier	dispencier;dispensier
directeur	direkteur
direkteur	directeur
dispencier	diespencier;dispensier
dispensier	diespencier;dispencier
docent	Inlands leermeester;leermeester;meester
docter	doctor;dokter
doctor	docter;dokter
dokter	docter;doctor
dominee	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;minister;predicant;predikant
drill maker	boormaker
drummer	trommelaar;trommelslager
eerste lanspassaat	first lance corporal
eerste luitenant	premier luitenant
eerste onderchirurgijn	first assistant surgeon
eerste stuurman	first mate;luitenant (zeeman);opperstuurman
ensign	ensign bearer;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrig;vandrigt;vendrig ;viendrig
ensign bearer	ensign;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrig;vandrigt;vendrig ;viendrig
equipagemeester	Equipagemaster;equipagie meester;equipagiemeester;equipasie opziender
equipagie meester	Equipagemaster;equipagemeester;equipagiemeester;equipasie opziender
equipagiemeester	Equipagemaster;equipagemeester;equipagie meester;equipasie opziender
equipasie opziender	Equipagemaster;equipagemeester;equipagie meester;equipagiemeester
extra ord:	extra ordenarie;extra ordinair ;extraordinaris
extra ordenarie	extra ord:;extra ordinair ;extraordinaris
extra ordinair 	extra ord:;extra ordenarie;extraordinaris
extraordinaris	extra ord:;extra ordenarie;extra ordinair 
extraordinaris raedt van india	Raad van Indië;Raad van Nederlandse India;lid van de Raad van Indië;raad extra ordinair van India 
fire hose maker	brandspuitmaker;brandspuitslangenmaker;manual fire engine maker
first assistant surgeon	eerste onderchirurgijn
first barber-surgeon	barber-surgeon;barbier
first boatswain	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
first boatswain's mate	boatswain's mate;boosmansmaet;bootsmanmaat;bootsmansmaat;hoogbootsmansmaat
first cooper	baas der kuipers;opperkuijper;opperkuiper
first lance corporal	eerste lanspassaat
first mate	eerste stuurman;luitenant (zeeman);opperstuurman
first supervisor of Asian crew members	oppermandoor;oppermandor
fiscaal	fiscael;fiskaal;prosecutor
fiscael	fiscaal;fiskaal;prosecutor
fiskaal	fiscaal;fiscael;prosecutor
fluiter	peijper;piper
fourier	officer responsible for provisioning of soldiers;quartermaster
g'gagieerde	g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
g'gagieerden	g'gagieerde;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
garnisoenschrijver	garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
garnizoenschrijver	garnisoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
geauthoriseerde	geautoriseerde
geautoriseerde	geauthoriseerde
gecommitteerde	commisiart;commissiant;committeerder
gegadieerden 	g'gagieerde;g'gagieerden;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
gegadjieerden 	g'gagieerde;g'gagieerden;gegadieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
gegageerde	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerden;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
gegageerden	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegagieerde;gegagieerden ;gegagieerdens ;gegasieerde 
gegagieerd bootsman	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
gegagieerd sergeant	orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
gegagieerde	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerden ;gegagieerdens ;gegasieerde 
gegagieerde soldaat	gemene;soldaaat;soldaar;soldaet;soldat;soldier;solt:;zoldaat;zoldaet;zoldt:
gegagieerden 	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerdens ;gegasieerde 
gegagieerden boorder	boorde;boorder
gegagieerden korporaal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;koporaal;korperaal;korporael
gegagieerden metselaar	bricklayer;metselaer
gegagieerdens 	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegasieerde 
gegasieerde 	g'gagieerde;g'gagieerden;gegadieerden ;gegadjieerden ;gegageerde;gegageerden;gegagieerde;gegagieerden ;gegagieerdens 
gemene	gegagieerde soldaat;soldaaat;soldaar;soldaet;soldat;soldier;solt:;zoldaat;zoldaet;zoldt:
gerechtsbode	gerechtsboode;geregsboode;geregts-boode;geregtsbode;geregtsbood;geregtsboode
gerechtsboode	gerechtsbode;geregsboode;geregts-boode;geregtsbode;geregtsbood;geregtsboode
geregsboode	gerechtsbode;gerechtsboode;geregts-boode;geregtsbode;geregtsbood;geregtsboode
geregts-boode	gerechtsbode;gerechtsboode;geregsboode;geregtsbode;geregtsbood;geregtsboode
geregtsbode	gerechtsbode;gerechtsboode;geregsboode;geregts-boode;geregtsbood;geregtsboode
geregtsbood	gerechtsbode;gerechtsboode;geregsboode;geregts-boode;geregtsbode;geregtsboode
geregtsboode	gerechtsbode;gerechtsboode;geregsboode;geregts-boode;geregtsbode;geregtsbood
gesaghebber	gezaghebber
geswoore clerq van politie	clercq;clerq;geswore clerk van politie;gesworen clerq;klerk;klerq
geswore clerk van politie	clercq;clerq;geswoore clerq van politie;gesworen clerq;klerk;klerq
gesworen clerq	clercq;clerq;geswoore clerq van politie;geswore clerk van politie;klerk;klerq
geweldige	geweldige provoost;geweldiger;gewelliger;provoost geweldige
geweldige provoost	geweldige;geweldiger;gewelliger;provoost geweldige
geweldiger	geweldige;geweldige provoost;gewelliger;provoost geweldige
gewelliger	geweldige;geweldige provoost;geweldiger;provoost geweldige
gezaghebber	gesaghebber
gezagvoerder	schipheer;schipper
glaasemaker	glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glaesemaker	glaasemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glaesmaeker	glaasemaker;glaesemaker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glase maker	glaasemaker;glaesemaker;glaesmaeker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glasemaaker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glasemaker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemakter;glasenmaker;glass maker;glazemaker;glazenmaker
glasemakter	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasenmaker;glass maker;glazemaker;glazenmaker
glasenmaker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glass maker;glazemaker;glazenmaker
glass maker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glazemaker;glazenmaker
glazemaker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazenmaker
glazenmaker	glaasemaker;glaesemaker;glaesmaeker;glase maker;glasemaaker;glasemaker;glasemakter;glasenmaker;glass maker;glazemaker
goerip	guripo;kurup
goeverneur	gouverneur
gouverneur	goeverneur
gouverneur-generaal	acting governor-general;governor general
governor general	acting governor-general;gouverneur-generaal
grofsmit	blacksmith;grofsmith
grofsmith	blacksmith;grofsmit
guarnesoen schrijver	garnisoenschrijver;garnizoenschrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
guarni soen schrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
guarniesoen schrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
guarnisoen schrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoenschrijver;guarrisoen schrijver;quarnisoenschrijver
guarnisoenschrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarrisoen schrijver;quarnisoenschrijver
guarrisoen schrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;quarnisoenschrijver
gunner	constabel;constapel;weapons master
guripo	goerip;kurup
halfwaak	apprentice helmsman
handlanger	artillerie-handlanger
herbergier	kastelein;waard
hoofd	hooft
hoofd administrateur	hoofd-administrateur;hoofdadministrateur;koopadministrateur;secund;secunde;sekunde
hoofd der militie	hoofd van de militie
hoofd van de artillerie	kommandant der artillerie
hoofd van de militie	hoofd der militie
hoofd-administrateur	hoofd administrateur;hoofdadministrateur;koopadministrateur;secund;secunde;sekunde
hoofdadministrateur	hoofd administrateur;hoofd-administrateur;koopadministrateur;secund;secunde;sekunde
hooft	hoofd
hoog bootsman	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoogbootsman;loog bootsm:;oogbootsman
hoogbootsman	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;loog bootsm:;oogbootsman
hoogbootsmansmaat	boatswain's mate;boosmansmaet;bootsmanmaat;bootsmansmaat;first boatswain's mate
hoogloper	hooplooper;jong matroos;jongmatroos;junior sailor;juniormatroos;oploper
hooplooper	hoogloper;jong matroos;jongmatroos;junior sailor;juniormatroos;oploper
hospitaalmeester	hospitalier
hospitalier	hospitaalmeester
houdvester	houtvester
house carpenter	huijs timmerman;huijstimmerman
houtvester	houdvester
huijs timmerman	house carpenter;huijstimmerman
huijstimmerman	house carpenter;huijs timmerman
hulpstuurman	derde stuurman;derde waak;derdewaak;derdewaek;third mate
husaar	huzaar
huzaar	husaar
infirmary visitor	krankbesoeker;krankbezoeker;lekelezer;ziekenbezoeker
instrument maker	instrumentmaker
instrumentmaker	instrument maker
jo: adsistend	Jong assistent;jo: assistent;jong adsistend;jong koopmansassistent;jongen adsistent;junior assistant to the (chief) merchant;junior merchants assistant
jo: assistent	Jong assistent;jo: adsistend;jong adsistend;jong koopmansassistent;jongen adsistent;junior assistant to the (chief) merchant;junior merchants assistant
jong adsistend	Jong assistent;jo: adsistend;jo: assistent;jong koopmansassistent;jongen adsistent;junior assistant to the (chief) merchant;junior merchants assistant
jong koopmansassistent	Jong assistent;jo: adsistend;jo: assistent;jong adsistend;jongen adsistent;junior assistant to the (chief) merchant;junior merchants assistant
jong matroos	hoogloper;hooplooper;jongmatroos;junior sailor;juniormatroos;oploper
jong tolk	Jo: assistent bij den oppertolk
jongchirurgijn	young surgeon
jongen	cabin boy;ship's boy
jongen adsistent	Jong assistent;jo: adsistend;jo: assistent;jong adsistend;jong koopmansassistent;junior assistant to the (chief) merchant;junior merchants assistant
jongmatroos	hoogloper;hooplooper;jong matroos;junior sailor;juniormatroos;oploper
joster	coster;koster
junior assistant to the (chief) merchant	Jong assistent;jo: adsistend;jo: assistent;jong adsistend;jong koopmansassistent;jongen adsistent;junior merchants assistant
junior barber-surgeon	junior barbier
junior barbier	junior barber-surgeon
junior merchant	ondercoop:;ondercoopan;ondercoopman;onderkoomman;onderkoopman;onderokoopman
junior merchants assistant	Jong assistent;jo: adsistend;jo: assistent;jong adsistend;jong koopmansassistent;jongen adsistent;junior assistant to the (chief) merchant
junior ordinary seaman	junior seaman
junior sail maker	junior zeilmaker
junior sailor	hoogloper;hooplooper;jong matroos;jongmatroos;juniormatroos;oploper
junior seaman	junior ordinary seaman
junior steward	boy guard;cabin steward;kajuitsjongen
junior zeilmaker	junior sail maker
juniormatroos	hoogloper;hooplooper;jong matroos;jongmatroos;junior sailor;oploper
kaartmaker	cartemaker;map maker;mapmaker
kaffer	caffer;casser
kajuitsjongen	boy guard;cabin steward;junior steward
kananier	cannanier;cannonir;cannonnier;canomien;canonier;canonnier;kanonier;kanonnier
kanonier	cannanier;cannonir;cannonnier;canomien;canonier;canonnier;kananier;kanonnier
kanonnier	cannanier;cannonir;cannonnier;canomien;canonier;canonnier;kananier;kanonier
kapitain	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitijn
kapitain des armens	kapitain des arment;kapitain des armes;kapitain des arms;kapitein des armes
kapitain des arment	kapitain des armens;kapitain des armes;kapitain des arms;kapitein des armes
kapitain des armes	kapitain des armens;kapitain des arment;kapitain des arms;kapitein des armes
kapitain des arms	kapitain des armens;kapitain des arment;kapitain des armes;kapitein des armes
kapitein der burgerij	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerij;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerije
kapitein der burgerije	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerij;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerij
kapitein des armes	kapitain des armens;kapitain des arment;kapitain des armes;kapitain des arms
kapitein luitenant	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein-luitenant
kapitein-luitenant	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant
kapitijn	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain
kasier	cassier;kassier
kassier	cassier;kasier
kastelein	herbergier;waard
kastenmaker	cabinet maker;meubelmaker;schrijnwerker
kattanar	cassanar;cassenairo;catenaar;cattenaar;cattenar
kladschilder	(house)painter;schilder
klerk	clercq;clerq;geswoore clerq van politie;geswore clerk van politie;gesworen clerq;klerq
klerq	clercq;clerq;geswoore clerq van politie;geswore clerk van politie;gesworen clerq;klerk
knife maker	messenmaker
kock	cook;koek
koek	cook;kock
kokmaet	cook's mate
kolonel-commandant	commander colonel
kommandant	command:;commandaent ;commandanr;commandant;commander ;commander of the soldiers;commandt:
kommandant der artillerie	hoofd van de artillerie
konstabelsmaat	constabelsmaet;constapelsmaat;constapelsmaet;weapons-master's mate
koopadministrateur	hoofd administrateur;hoofd-administrateur;hoofdadministrateur;secund;secunde;sekunde
koopm:	commies;coopman;merchant
koperslager	copper-smith
koporaal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;korperaal;korporael
korenmeulenaar	korenmolenaar
korenmolenaar	korenmeulenaar
korperaal	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korporael
korporael	coorporaal;copraal;corp:;corpaal;corparal;corperaal;corperal;corpolral;corpor:;corporaal;corporaar;corporael;corporal;corporâl;gegagieerden korporaal;koporaal;korperaal
koster	coster;joster
krankbesoeker	infirmary visitor;krankbezoeker;lekelezer;ziekenbezoeker
krankbezoeker	infirmary visitor;krankbesoeker;lekelezer;ziekenbezoeker
kruijdmaaker	kruijdmaker;kruijdtmaeker;kruijmaker;kruijtmaker;kruitmaker
kruijdmaker	kruijdmaaker;kruijdtmaeker;kruijmaker;kruijtmaker;kruitmaker
kruijdtmaeker	kruijdmaaker;kruijdmaker;kruijmaker;kruijtmaker;kruitmaker
kruijmaker	kruijdmaaker;kruijdmaker;kruijdtmaeker;kruijtmaker;kruitmaker
kruijtmaker	kruijdmaaker;kruijdmaker;kruijdtmaeker;kruijmaker;kruitmaker
kruitmaker	kruijdmaaker;kruijdmaker;kruijdtmaeker;kruijmaker;kruijtmaker
kuijper	cooper;cuijper
kurup	goerip;guripo
laandheer	landheer;landsheer;lantheer
lance corporal	lance-corporal;lanspassaat
lance-corporal	lance corporal;lanspassaat
landheer	laandheer;landsheer;lantheer
landmeeter	landmeter;surveyor
landmeter	landmeeter;surveyor
landsheer	laandheer;landheer;lantheer
lanspassaat	lance corporal;lance-corporal
lantheer	laandheer;landheer;landsheer
lasc:	lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascarijn	lasc:;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascerijn	lasc:;lascarijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascerrij	lasc:;lascarijn;lascerijn;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascor	lasc:;lascarijn;lascerijn;lascerrij;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascoreijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorij	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorijen	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorijns	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorin	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lascorins	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lasecrijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
lask:	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;laskaar;laskor;laskorijen;laskorijn;lscorijn;luscorijn
laskaar	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskor;laskorijen;laskorijn;lscorijn;luscorijn
laskor	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskorijen;laskorijn;lscorijn;luscorijn
laskorijen	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijn;lscorijn;luscorijn
laskorijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;lscorijn;luscorijn
leerberijder	leerlooier
leerlooier	leerberijder
leermeester	Inlands leermeester;docent;meester
leerthauwer	leerthouwer;leertouwer
leerthouwer	leerthauwer;leertouwer
leertouwer	leerthauwer;leerthouwer
lekelezer	infirmary visitor;krankbesoeker;krankbezoeker;ziekenbezoeker
leuijenant 	leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
leuijtenant	leuijenant ;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lid van de Politieke Raad	Raad van Politie;lid van de Raad van Politie
lid van de Raad van Indië	Raad van Indië;Raad van Nederlandse India;extraordinaris raedt van india;raad extra ordinair van India 
lid van de Raad van Justitie	council of justice
lid van de Raad van Politie	Raad van Politie;lid van de Politieke Raad
lietenant	leuijenant ;leuijtenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lieuten:	leuijenant ;leuijtenant;lietenant;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
