(house)painter	kladschilder;schilder
assistant to the (chief) merchant	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistend;assistendt;assistent;merchant's assistant;schrijver
assistend	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistendt;assistent;merchant's assistant;schrijver
assistendt	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistent;merchant's assistant;schrijver
assistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;merchant's assistant;schrijver
baas der kruijtmakers	baas der kruitmakers;baas kruijtmaker
baas der kruitmakers	baas der kruijtmakers;baas kruijtmaker
baas der kuipers	first cooper;opperkuijper;opperkuiper
baas der pannebakkers	baas der pannenbakkers;pannebakker
baas der pannenbakkers	baas der pannebakkers;pannebakker
baas der scheepstimmerlieden	Baas Scheeps Timmerm;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
baas der scheepstimmermannen	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
baas der scheepstimmerwerf	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
baas der scheeptimmerlieden	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
baas der schipstimmerwerf	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;opperscheepstimmerman;senior ship carpenter
baas der smidswinkel	baas der smits;baes der smitswinkel
baas der smits	baas der smidswinkel;baes der smitswinkel
baas der timmermannen	oppertemmerman;oppertimmerman
baas kruijtmaker	baas der kruijtmakers;baas der kruitmakers
baas van de schutterije	capitain der burgereij;capitain der burgererije;capitain der burgerij;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
baes der smitswinkel	baas der smidswinkel;baas der smits
bakkerin	bakkerinne
bakkerinne	bakkerin
bakmeester	baksmeester
baksmeester	bakmeester
balk meeter	balkmeter
balkmeter	balk meeter
barber-surgeon	barbier;first barber-surgeon
barberot	apprentice surgeon
barbier	barber-surgeon;first barber-surgeon
bedienaar der goddelijken woord	bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedienaar der goddelijken woords	bedienaar der goddelijken woord;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedienaar des goddelijken woords	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedienaar des goddelijken woorts	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedienaar des godelijker woords	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedienaar des godelijkse woords	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedinaar des goddelijken woords	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedinaar des goddelijken woorts	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijks woorts;dominee;minister;predicant;predikant
bedinaar des goddelijks woorts	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;dominee;minister;predicant;predikant
belastingpachter	pachter;pagter
beul	scherprechter;scherpregter
biermaat	biermaet
biermaet	biermaat
binnen regent	binnenregent
binnenregent	binnen regent
blacksmith	grofsmit;grofsmith
blikjeager	blikslager;brass-founder
blikslager	blikjeager;brass-founder
block maker	blokemaker;blokenmaker
blokemaker	block maker;blokenmaker
blokenmaker	block maker;blokemaker
