med	126
water	125
voegen	125
genoegen	125
naam	124
gepasseert	124
fijne	124
welcke	123
verscheijde	123
present	123
lijk	123
denselven	123
bekend	123
noch	122
gestelt	122
behalven	122
aande	122
weg	121
voorn	121
vervolg	121
slaven	121
laaste	121
hoop	121
eerbied	121
ben	121
aangebragt	121
re	120
komende	120
junij	120
geteekend	120
gene	120
wijl	119
rivier	119
opperhoofd	119
geteekent	119
gedane	119
voldoen	118
vertrocken	118
veele	118
jaars	118
edelheedens	118
aug	118
ijder	117
besluijt	117
wil	116
meester	116
indien	116
sodanige	115
last	115
krijgen	115
gepasseerde	115
weeten	113
uyt	113
pass	113
ordres	113
wilde	112
wesende	112
weer	112
leggende	112
jaren	112
hooge	112
gebiedende	112
februarij	112
waaren	111
stx	111
eere	111
stond	110
ses	110
letteren	110
geschieden	110
eenig	110
alwaar	110
agter	110
nen	109
getuijgen	109
eijland	109
dienaar	109
stux	108
overleden	108
jndia	108
gedagte	108
avond	108
senden	107
schipper	107
eerbiedig	107
aanstaande	107
voldaan	106
plaatsen	106
ontrent	106
mitsg	106
lieden	106
jacob	106
ingevolge	106
gelegen	106
ed=s	106
derselver	106
bevorens	106
voren	105
morgen	105
geschreven	105
weijnig	104
ruijm	104
reeds	104
quam	104
lijwaten	104
hooft	104
gisteren	104
gesegt	104
geraakt	104
geleijde	104
comptoir	104
mijne	103
gemelte	103
dienaaren	103
concludeert	103
aangekomen	103
voet	102
opperhooft	102
landen	102
gebrek	102
dierhalven	102
best	102
vertrekt	101
vallen	101
translaat	101
rug	101
lading	101
hen	101
eijndelijk	101
edelhedens	101
derwaarts	101
laast	100
haere	100
gedeelte	100
gebruijk	100
verders	99
nederlands	99
omtrend	98
meij	98
leven	98
item	98
capitain	98
reecq	96
gestrenge	96
genoeg	96
costen	96
cornelis	96
beter	96
agtbare	96
ven	95
reeden	95
onser	95
groete	95
genoemde	95
eenelijk	95
behooren	95
voorde	94
verlies	94
stucken	94
herwaards	94
hendrik	94
geeven	94
deze	94
agt	94
aff	94
vertrouwen	93
staet	93
soort	93
somma	93
sijnen	93
overige	93
namentlijk	93
verblijven	92
register	92
memorie	92
langer	92
ee	92
comp=s	92
meeste	91
meest	91
haren	91
grooten	91
aende	91
welken	90
verstrekt	90
respect	90
ne	90
gecommitteerdens	90
factuur	90
boek	90
wal	89
schade	89
pligt	89
komst	89
jongste	89
gestr	89
gemelde	89
dienste	89
brengt	89
boord	89
bemant	89
reek	88
pas	88
ick	88
goedgevonden	88
daags	88
comp=e	88
aangaande	88
volkeren	87
ult	87
steede	87
nodig	87
negorij	87
maaken	87
iets	87
gezonden	87
dragen	87
datse	87
daarom	87
cooplieden	87
blijken	87
uwer	86
regt	86
prins	86
liet	86
contract	86
commandeur	86
almede	86
allen	86
voorige	85
sulcx	85
foelij	85
edelh	85
bestaande	85
weeder	84
vijff	84
uee	84
secretaris	84
recht	84
olij	84
october	84
malacca	84
logie	84
jaaren	84
heen	84
halve	84
gesien	84
gaat	84
burger	84
woorden	83
werken	83
waarom	83
kennen	83
goeden	83
erlangen	83
deeze	83
deeser	83
behouden	83
aldien	83
onze	82
ont	82
onderstont	82
kant	82
hy	82
hoofde	82
eijlanden	82
contanten	82
bijlagen	82
weegens	81
rijk	81
jaer	81
hoedanig	81
geheele	81
zynde	80
ware	80
vant	80
terug	80
overgegeven	80
kosten	80
cust	80
antwoorden	80
zijnen	79
wierde	79
ved	79
geschied	79
eij=r	79
december	79
versonden	78
verkogt	78
packen	78
mindere	78
langs	78
konden	78
geschiet	78
bodems	78
vast	77
onderdanen	77
len	77
waarmede	76
rade	76
inlandse	76
god	76
gewoonte	76
amsterdam	76
vervoert	75
sterk	75
ro	75
jare	75
gelast	75
derhalven	75
blijft	75
beslooten	75
anno	75
zoort	74
we	74
verzoek	74
verkoop	74
sijner	74
ordinaire	74
gelaten	74
dezer	74
dewijle	74
comen	74
cassa	74
augustus	74
zelfs	73
wagten	73
laatste	73
inden	73
ider	73
heel	73
directie	73
sodanig	72
quamen	72
pakhuijsen	72
nadere	72
koopman	72
kinderen	72
hout	72
gunstige	72
genaamt	72
connen	72
cas	72
zuijker	71
voorden	71
ternaten	71
stede	71
spijkers	71
hoogheijt	71
gaen	71
donderdag	71
zaken	70
wert	70
vertrecken	70
tselve	70
tijden	70
teffens	70
rotterdam	70
fluijt	70
dezen	70
derde	70
broeder	70
blijkt	70
zedert	69
voorsienige	69
vijf	69
sulthan	69
prijsen	69
middag	69
kisten	69
courant	69
antwoort	69
vrouw	68
voeten	68
verleend	68
spoedig	68
pieken	68
padang	68
natie	68
laste	68
geleden	68
dage	68
:d	68
zenden	67
xber	67
woensdag	67
wijn	67
realen	67
penn	67
oud	67
ondertusschen	67
mitsgrs	67
mijnen	67
jaare	67
gouv	67
bevinding	67
begeven	67
vijand	66
vermogen	66
sen	66
magt	66
heijd	66
eenemaal	66
bevoorens	66
arriveert	66
verleden	65
to	65
specerijen	65
scheepje	65
regering	65
plaets	65
parthij	65
opper	65
mogt	65
ian	65
helpen	65
blijkens	65
berigten	65
afte	65
zeggen	64
vader	64
tijds	64
tie	64
soodanige	64
soldaat	64
provisie	64
picols	64
ontvangen	64
nopens	64
ministers	64
jonge	64
inne	64
half	64
gemaekt	64
gecommitteerde	64
eerbiedige	64
eenigen	64
duijsent	64
datum	64
bewijs	64
anker	64
aanden	64
winst	63
vorige	63
voorraad	63
vol	63
vernomen	63
saken	63
menschen	63
hoff	63
gehoort	63
engelse	63
d=os	63
direct	63
besluijten	63
afgaande	63
ts	62
laat	62
koomen	62
generale	62
gelden	62
gegaan	62
gedagten	62
dienende	62
daarvan	62
boekjaar	62
anthonij	62
adriaan	62
zaak	61
wind	61
werde	61
ul	61
twintig	61
sullende	61
selver	61
schuldige	61
oorlog	61
officieren	61
kleeden	61
geschenk	61
equipagie	61
ceijlon	61
beveelen	61
besloten	61
behoorlijke	61
afgesonden	61
ze	60
versoekende	60
smorgens	60
samen	60
post	60
pakken	60
neevens	60
maandag	60
jder	60
intentie	60
houtwerken	60
hoorn	60
halven	60
guinees	60
grond	60
gevolg	60
geslagen	60
dank	60
contrarie	60
bestaan	60
aangesien	60
aange	60
zelven	59
weegen	59
vrijdag	59
sijde	59
september	59
overlijden	59
kon	59
inwoonder	59
genereuse	59
gehoorsame	59
geciteerde	59
gale	59
feb	59
eenlijk	59
buskruijt	59
begin	59
altoos	59
zodanig	58
verwagten	58
twelk	58
spoedigsten	58
setten	58
reijs	58
regeering	58
raedt	58
ps	58
neder	58
nade	58
laeten	58
jagt	58
intje	58
godes	58
ed=e	58
comptoiren	58
briev	58
betalen	58
approbatie	58
verscheenen	57
stad	57
oost	57
ondercoopman	57
november	57
notitie	57
name	57
kleene	57
grote	57
gepasseerd	57
eed	57
dogh	57
doeken	57
do	57
diep	57
clercq	57
c:	57
bevel	57
zodanige	56
zaaken	56
wijle	56
vreemde	56
vaertuijgen	56
stuk	56
soeken	56
prauw	56
nagt	56
leveren	56
kieltje	56
hoope	56
gezaghebber	56
geresolveert	56
eede	56
dood	56
doet	56
diergelijke	56
bossen	56
benodigt	56
bemand	56
believen	56
zulks	55
zeijl	55
voorleden	55
toegesonden	55
tans	55
seven	55
riouw	55
reekening	55
qualiteijt	55
papier	55
overheden	55
opperhoofden	55
meerm	55
luijtenant	55
kennis	55
invoegen	55
hoogh=t	55
gevoegt	55
gev=n	55
genoodsaakt	55
gebleven	55
conform	55
commissie	55
boort	55
alzoo	55
vreede	54
telaten	54
schijnt	54
nademaal	54
ieder	54
gunt	54
guarnisoen	54
gesloten	54
gerrit	54
generael	54
gelijke	54
dispositie	54
chineesen	54
canneel	54
attestatie	54
zoon	53
zegge	53
witte	53
wien	53
waeren	53
vrouwen	53
volck	53
vee	53
sub	53
soon	53
secht	53
s:	53
revier	53
raadt	53
pakhuijs	53
overheeden	53
occagie	53
middel	53
luijden	53
immers	53
hooren	53
gerespecteerde	53
genoegsaam	53
gebruijkt	53
expresse	53
dient	53
com	53
also	53
aenden	53
zullende	52
zijner	52
xxx	52
volbragt	52
versoekt	52
